Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
AZ035-21,RBC,0.91,F,SI2,G,VG,G,,,5293053110,5293053110.pdf,K.T.S:Twinning Wisp,ISRAEL,37.5,16,NON,,63.6,,Y,,,        ,,,Blue,MED,0,Faceted,VTK,STK,GIA,6.09 x  6.04 x  3.86,,,,40.6,42.5,-0.45,2750,RBC,,50,58,,,0,,,,,,,
AZ040-78,CUSH,0.91,H,IF,,EX,VG,,,2256064799,2256064799.pdf,K.T.S:Minor Details of Polish,ISRAEL,0,0,NON,,66.2,,Y,,,        ,,,,NON,0,Faceted,MED,THN,GIA,5.62 x  5.41 x  3.58,,AZ043-76,,    ,0,-0.38,3100,CUSH,,0,64,HK-March2019,,0,,,,,,,
AZ041-3,BG,0.71,E,VS1,,VG,G,,,6235663062,6235663062.pdf,,ISRAEL,0,0,NON,,81.3,https://segoma.com/v.php?type=inner&id=5PE6L7EPLL,Y,,,        ,,,,MED,0,,STK,THN,GIA,7.55 x  3.42 x  2.78,,,,    ,0,-0.2,3680,BG,,0,66,HK-March2019,,0,,,,,,,
55,1728,RBC,G,VS1,NON,45.5,AZ042-45,,,7296054495,7296054495.pdf,K.T.S:Crystal, Needle,ISRAEL,38,16,,F,67.2,,Y,,,        ,,,,NON,0,Faceted,THK,MED,GIA,4.78 x  4.71 x  3.19,,,,42.6,VG,-0.36,1728,0.45,,F,58,,,0,,,,,,
AZ043-54,BG,0.54,H,VS2,,VG,VG,,,7192877249,7192877249.pdf,,ISRAEL,0,0,NON,,65.8,https://segoma.com/v.php?type=inner&id=QRUKVRI1JJ,Y,,,        ,,,,NON,0,,STK,MED,GIA,7.00 x  3.33 x  2.19,,AZ032-18,,    ,0,     ,2500,BG,,0,72,HK-March2019,,0,,,,,,,
AZ043-76,CUSH,0.9,H,VS2,,EX,VG,,,7251064801,7251064801.pdf,K.T.S:Cloud,ISRAEL,0,0,NON,,68.5,,Y,,,        ,,,,NON,0,Faceted,MED,VTN,GIA,5.58 x  5.34 x  3.66,,AZ040-78,,    ,0,-0.38,2852,CUSH,,0,63,HK-March2019,,0,,,,,,,
0.3,VG,-0.38,H,VS2,36,,,,,6292054505,6292054505.pdf,K.T.S:Cloud, Crystal, Chip, Feather,ISRAEL,,15.5,NON,F,64.4,,Y,,,        ,,,,NON,0,Faceted,ETK,THK,GIA,4.16 x  4.14 x  2.67,,,40.6,42.5,VG,1302,RBC,50,AZ043-78,VG,57,,,0,,,,
AZ045-5,RBC,0.64,LY,VS2,,VG,VG,,,2931387942,,,ISRAEL,0,0,,,61.7,,Y,,,        ,,,,NONE,0,,,,EGL Israel,5.50 x  5.48 x  3.39,,,,    ,0,     ,1000,RBC,,0,61,,,0,,,,,,,
,-0.3,2240,I,VVS1,0,    ,0,,,6312902095,6312902095.pdf,K.T.S:Feather, Indented Natural, Surface Graining,ISRAEL,0,,NON,,52.8,,Y,,,        ,,,Blue,MED,0,Faceted,VTK,THK,GIA,8.81 x  5.37 x  2.84,,,,0,VG,-0.3,PS,0.8,AZ050-11,VG,62,HK-March2019,,0,,,,,
0.3,VG,-0.35,I,VVS2,35,,,,,5296057199,5296057199.pdf,K.T.S:Pinpoint, Feather, Chip, Cavity,ISRAEL,,13,NON,VG,61.7,,Y,,,        ,,,,NON,0,Faceted,THK,STK,GIA,4.27 x  4.24 x  2.62,,,41.2,43.5,VG,1365,RBC,60,AZ051-15,VG,62,,,0,,,,
AZ052-46,PS,0.8,I,VS1,,VG,VG,,,6312902016,6312902016.pdf,K.T.S:Feather,ISRAEL,0,0,NON,,46.3,,Y,,,        ,,,Blue,MED,0,Faceted,VTK,STK,GIA,9.49 x  5.53 x  2.56,,,,    ,0,-0.3,2030,PS,,0,64,HK-March2019,,0,,,,,,,
AZ064-15,RBC,0.33,J,SI1,VG,VG,VG,,,2296053152,2296053152.pdf,K.T.S:Crystal,ISRAEL,35.5,15,NON,,62.3,,Y,,,        ,,,,NON,0,Faceted,THK,MED,GIA,4.40 x  4.38 x  2.73,,,,40.6,42.5,     ,1092,RBC,,55,58,,,0,,,,,,,
AZ064-16,RBC,0.3,J,SI1,G,EX,VG,,,2298053457,2298053457.pdf,K.T.S:Crystal,ISRAEL,35,15,NON,,64.4,,Y,,,        ,,,Blue,MED,0,Faceted,VTK,THK,GIA,4.19 x  4.17 x  2.69,,,,41.2,43.5,     ,1092,RBC,,55,57,,,0,,,,,,,
AZ099-11,RBC,0.36,FVY,,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,5000,RBC,,0,  ,HK-March2019,,0,,,,,,,
50000,    ,0,,I1, Indente,,CUSH,,,2185123493,2185123493.pdf,Pinpoints are not shown.  Fancy Pink, Natural Even K.T.S:Crystal, Etch Channel, Knot, Cavity,,ISRAEL,0,0,NON,,65.5,https://segoma.com/v.aspx?type=view&id=KC0WXTMC1B,Y,,,PINK    ,FANCY,,Blue,STG,0,Faceted,ETK,STK,GIA,5.42 x  5.40 x  3.54,,,    ,VG,     ,0.92,,0,AZ099-14,G,61,HK-March2019,,0,,
CUSH,0,G,,I1,ISRAEL,,0.93,,,2185617663,2185617663.pdf,Clouds, pinpoints and surface graining are not sho  Fancy Light Green, Natural Even K.T.S:Crystal, Feather, Extra Facet,,0,0,NON,,62.7,https://segoma.com/v.php?type=inner&id=SQV6D6VVUU,Y,,,GREEN   ,LIGHT,,Blue,STG,0,Faceted,ETK,VTK,GIA,5.74 x  5.54 x  3.47,WeChat ID - GuyZamir,,    ,0,     ,8200,,0,AZ099-2,G,64,HK-March2019,,0,,,
RBC,0,G,Fancy,SI1,ISRAEL,,0.21,,,5141663693,5141663693.pdf,Pinpoints are not shown.  Fancy Deep Brownish Greenish Yellow, Natural K.T.S:Etch Channel, Feather, Indented Natural, Ext,,0,0,NON,,56.4,,Y,,,        ,,,,NON,0,,ETK,THK,GIA,3.89 x  3.84 x  2.18,,,    ,0,     ,2500,,0,AZ099-24,F,63,,,0,,,
